_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks,,,,,,,,,,
5f9fc22bfb43357b9094a2e2,02-11-2020 13:54,Photography,BoldFit,Bangalore,Immediately, 8000-13000 /month,2 Months,14 Nov' 20,Internship with job offer,"[""Photography"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages"","" Job offer""]",,,,,,,,,,
5f9fc22efb43357b9094a2e3,02-11-2020 13:54,Marketing,Webscale Networks,Bangalore,Immediately, 7000 /month +  Incentives,2 Months,14 Nov' 20,Internship,"[""MS-Office"",""MS-Excel"",""Certificate"","" Letter of recommendation"","" 5 days a week""]",,,,,,,,,,
5f9fc22ffb43357b9094a2e4,02-11-2020 13:54,Big Data Development And Testing,Blismos Solutions Private Limited,Bangalore,Immediately, 5000 /month,3 Months,13 Nov' 20,Internship,"[""Python"",""Certificate"","" Letter of recommendation""]",,,,,,,,,,
5f9fc22ffb43357b9094a2e5,02-11-2020 13:54,Digital Marketing,Yo Doozy,Bangalore,Immediately, 5000 /month,3 Months,13 Nov' 20,Internship,"[""Social Media Marketing"",""Search Engine Marketing (SEM)"",""Digital Marketing"",""Search Engine Optimization (SEO)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week""]",,,,,,,,,,
5f9fc230fb43357b9094a2e6,02-11-2020 13:54,Finance,ShoppRe,Bangalore,Immediately, 10000 /month,6 Months,13 Nov' 20,Internship,"[""MS-Office"",""Tally"",""English Proficiency (Spoken)"",""Certificate"","" Informal dress code""]",,,,,,,,,,
5f9fc233fb43357b9094a2e7,02-11-2020 13:54,Digital Marketing,Yo Doozy,Bangalore,Immediately, 5000 /month,3 Months,13 Nov' 20,Internship,"[""Social Media Marketing"",""Search Engine Marketing (SEM)"",""Digital Marketing"",""Search Engine Optimization (SEO)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week""]",,,,,,,,,,
5f9fc236fb43357b9094a2e8,02-11-2020 13:54,Finance,ShoppRe,Bangalore,Immediately, 10000 /month,6 Months,13 Nov' 20,Internship,"[""MS-Office"",""Tally"",""English Proficiency (Spoken)"",""Certificate"","" Informal dress code""]",,,,,,,,,,
5f9fc237fb43357b9094a2e9,02-11-2020 13:54,Marketing,Vent For You,Delhi,Immediately, 2000 /month,1 Month,13 Nov' 20,Internship,"[""Search Engine Marketing (SEM)"",""Digital Marketing"",""Facebook Marketing"",""Email Marketing"",""Instagram Marketing"",""Certificate"","" Flexible work hours""]",,,,,,,,,,
5f9fc237fb43357b9094a2ea,02-11-2020 13:54,Business Development (Sales),Digi Upaay,Bangalore,Immediately, 5000 /month,6 Months,13 Nov' 20,Internship with job offer,"[""Email Marketing"",""MS-Excel"",""English Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages"","" Job offer""]",,,,,,,,,,
5f9fc238fb43357b9094a2eb,02-11-2020 13:54,Business Development (Sales),American Institute Of Big Data Professionals,Bangalore,Immediately, 3000-5000 /month,2 Months,13 Nov' 20,Internship with job offer,"[""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" Job offer""]",,,,,,,,,,
5f9fc239fb43357b9094a2ec,02-11-2020 13:54,Counseling,Brainstorm Consulting,Bangalore,Immediately, 10000-15000 /month,6 Months,13 Nov' 20,Internship,"[""Certificate"","" Flexible work hours""]",,,,,,,,,,
5f9fc23afb43357b9094a2ed,02-11-2020 13:54,Business Development (Sales),The Majesstine Sports,Bangalore,Immediately, 9500 /month,3 Months,13 Nov' 20,Internship with job offer,"[""MS-Office"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" 5 days a week"","" Job offer""]",,,,,,,,,,
5f9fc23afb43357b9094a2ee,02-11-2020 13:54,Operations,Carfin Automobile Financial Services,Bangalore,Immediately, 12000 /month,6 Months,13 Nov' 20,Internship,"[""MS-Excel"",""Kannada"",""Client Relationship"",""English Proficiency (Spoken)"",""Letter of recommendation""]",,,,,,,,,,
5f9fc23bfb43357b9094a2ef,02-11-2020 13:54,Test Ops Engineering,Flux,Bangalore,Immediately, 5000 /month,6 Months,13 Nov' 20,Internship,"[""Python"",""C++ Programming"",""Certificate"","" 5 days a week""]",,,,,,,,,,
5f9fc23cfb43357b9094a2f0,02-11-2020 13:54,Business Development (Sales),Farid Consultants,Bangalore,Immediately, 12000 /month +  Incentives,2 Months,13 Nov' 20,Internship with job offer,"[""Digital Marketing"",""Salesforce"",""Certificate"","" Letter of recommendation"","" Job offer""]",,,,,,,,,,
5f9fc23dfb43357b9094a2f1,02-11-2020 13:54,Cloud Engineering,Axcess.io,Bangalore,Immediately, 17500 /month,6 Months,13 Nov' 20,Internship,"[""5 days a week""]",,,,,,,,,,
